# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	17438
#@/user_id	965b802b-6d45-476d-ab25-d046d79127f1
a 	啊	c=1 d=1 t=17434
zeng liang 	增量	c=3 d=2.33397 t=12017
zeng qian 	曾潛	c=2 d=1.45384 t=2013
zeng qiang 	增強	c=12 d=1.1686 t=14455
zeng zhang 	增長	c=1 d=1 t=6048
zha lan 	柵欄	c=1 d=1 t=14413
zha shi 	紮實	c=1 d=1 t=3090
zhai 	債	c=1 d=1 t=16994
zhai 	窄	c=1 d=1 t=2078
zhai yao 	摘要	c=3 d=1.04266 t=16132
zhan 	棧	c=21 d=5.38019 t=11740
zhan 	站	c=1 d=1 t=1957
zhan chang 	戰場	c=0 d=0.1 t=477
zhan chang ba 	戰場吧	c=1 d=1 t=478
zhan cheng 	展成	c=1 d=1 t=11989
zhan di 	棧底	c=3 d=2.91708 t=11715
zhan kai 	展開	c=8 d=1.1768 t=11986
zhan lu 	展露	c=1 d=1 t=14664
zhan shi 	展示	c=15 d=1.11822 t=16927
zhan shi 	戰士	c=1 d=1 t=1589
zhan shi ceng 	展示層	c=1 d=1 t=13842
zhan shu 	戰術	c=1 d=1 t=11751
zhan wang 	展望	c=1 d=1 t=1008
zhan wei 	站位	c=1 d=1 t=10236
zhan yong 	佔用	c=1 d=1 t=7968
zhan zai 	站在	c=1 d=1 t=14691
zhan zhen 	棧幀	c=14 d=5.80129 t=11821
zhan zhu 	站住	c=1 d=1 t=10317
zhang 	章	c=3 d=1.2208 t=5184
zhang da 	長大	c=1 d=1 t=14682
zhang jie 	章節	c=2 d=1 t=9185
zhang kong 	掌控	c=2 d=1.90937 t=3600
zhang liang 	張良	c=1 d=1 t=9409
zhang liang 	張量	c=7 d=1 t=14244
zhang peng 	帳篷	c=1 d=1 t=14370
zhang wai 	長歪	c=1 d=1 t=14735
zhang wo 	掌握	c=2 d=1 t=10414
zhao 	找	c=3 d=1.02045 t=15101
zhao 	趙	c=1 d=1 t=16880
zhao chu 	找出	c=1 d=1 t=1201
zhao dao 	找到	c=8 d=1.00001 t=16022
zhao hua xi shi 	朝花夕拾	c=4 d=2.1145 t=13374
zhao hui lai 	找回來	c=1 d=1 t=6400
zhao ji 	着急	c=0 d=0.1 t=15384
zhao kai 	召開	c=1 d=1 t=17363
zhao lei 	趙雷	c=1 d=1 t=13879
zhao liao 	照料	c=1 d=1 t=1958
zhao she 	照射	c=1 d=1 t=14641
zhao xia 	朝霞	c=1 d=1 t=15100
zhao zhao 	找找	c=1 d=1 t=6150
zhao zi long 	趙子龍	c=1 d=1 t=14427
zhe 	着	c=13 d=1.00428 t=15611
zhe 	者	c=2 d=1 t=11622
zhe 	這	c=38 d=2.46088 t=16683
zhe bi 	這筆	c=1 d=1 t=10979
zhe bu fen 	這部分	c=5 d=1 t=16372
zhe ci 	這次	c=2 d=1.94176 t=16148
zhe dang 	遮擋	c=1 d=1 t=12007
zhe dian 	折點	c=1 d=1 t=2281
zhe dian 	這點	c=1 d=1 t=634
zhe ge 	這個	c=58 d=1.32756 t=16692
zhe he 	摺合	c=1 d=1 t=3683
zhe hua 	這話	c=1 d=1 t=14559
zhe jiu 	這就	c=1 d=1 t=7492
zhe jiu shi 	這就是	c=1 d=1 t=12191
zhe ju 	這句	c=1 d=1 t=10239
zhe li 	這裏	c=7 d=1 t=12133
zhe ru 	折辱	c=1 d=1 t=4302
zhe shi 	這是	c=6 d=2.05318 t=14758
zhe tiao 	這條	c=1 d=1 t=6004
zhe xi 	浙西	c=0 d=0.1 t=13427
zhe xie 	這些	c=37 d=3.82159 t=16726
zhe xie chang 	這些場	c=1 d=1 t=16578
zhe xue 	哲學	c=1 d=1 t=10153
zhe ya hu 	着雅虎	c=1 d=1 t=1500
zhe yang 	這樣	c=16 d=1.00325 t=14670
zhe yang shuo 	這樣說	c=1 d=1 t=14803
zhe ye 	這也	c=0 d=0.1 t=9424
zhe ye jiu shi 	這也就是	c=1 d=1 t=9425
zhe yi 	這一	c=0 d=0.1 t=8787
zhe yi bu fen 	這一部分	c=1 d=1 t=8788
zhe yi dian 	這一點	c=4 d=1 t=8955
zhe zhe 	着着	c=1 d=1 t=8995
zhen 	幀	c=8 d=1 t=10590
zhen 	真	c=2 d=1 t=10592
zhen cheng 	真誠	c=1 d=1 t=17322
zhen dui 	針對	c=11 d=2.45955 t=14035
zhen fu chu 	真付出	c=1 d=1 t=898
zhen han 	震撼	c=1 d=1 t=1799
zhen jian 	幀間	c=1 d=1 t=3196
zhen liao 	診療	c=0 d=0.1 t=12025
zhen liao gui fan 	診療規範	c=1 d=1 t=12026
zhen lie 	陣列	c=1 d=1 t=9719
zhen shi 	真實	c=8 d=1.00266 t=16963
zhen shi 	真是	c=2 d=1 t=14786
zhen shi zhi 	真實值	c=1 d=1 t=16237
zhen xiang 	真想	c=1 d=1 t=14678
zhen zheng 	真正	c=5 d=1 t=15396
zheng 	正	c=1 d=1 t=500
zheng bi 	正比	c=0 d=0.1 t=12569
zheng bi yu 	正比於	c=1 d=1 t=12570
zheng chang 	正常	c=2 d=1.00001 t=10871
zheng ge 	整個	c=2 d=1.00307 t=4207
zheng ge 	正格	c=1 d=1 t=4206
zheng jie 	正解	c=1 d=1 t=6060
zheng jin 	正近	c=1 d=1 t=2128
zheng ju 	證據	c=2 d=1 t=13479
zheng li 	整理	c=2 d=1 t=17031
zheng li 	正例	c=3 d=1.99501 t=15858
zheng liu 	蒸餾	c=1 d=0.1 t=11947
zheng ming 	證明	c=4 d=1.00129 t=16106
zheng que xing 	正確性	c=1 d=1 t=12336
zheng ru 	正如	c=2 d=1 t=10203
zheng shi 	正式	c=1 d=1 t=174
zheng shi 	正是	c=1 d=1 t=6015
zheng tai 	正太	c=3 d=1.91059 t=9675
zheng tai fen bu 	正態分佈	c=5 d=2.81214 t=9676
zheng wu 	政務	c=1 d=1 t=17250
zheng xian 	正弦	c=1 d=1 t=4201
zheng yang 	正陽	c=1 d=1 t=6016
zheng yang ben 	正樣本	c=2 d=1.96079 t=13020
zheng zai 	正在	c=1 d=1 t=17088
zheng ze 	正則	c=1 d=0.1 t=9997
zheng ze hua 	正則化	c=2 d=1.02788 t=10714
zheng zhang 	整張	c=1 d=1 t=824
zheng zhi 	政治	c=3 d=1.88156 t=17215
zheng zhi guan 	政治關	c=1 d=1 t=17095
zhi 	之	c=2 d=1 t=10529
zhi 	值	c=23 d=1.60617 t=16961
zhi 	只	c=4 d=1 t=16081
zhi 	志	c=4 d=1.01346 t=1728
zhi 	指	c=1 d=1 t=2575
zhi 	直	c=1 d=1 t=11682
zhi 	知	c=2 d=1 t=8444
zhi 	至	c=1 d=1 t=722
zhi bai 	直白	c=1 d=1 t=11398
zhi bao liu 	只保留	c=1 d=1 t=13432
zhi bei 	只被	c=1 d=1 t=15549
zhi bi 	紙幣	c=1 d=1 t=15287
zhi biao 	指標	c=4 d=1.88692 t=14944
zhi chang ai 	直腸癌	c=0 d=0.1 t=12024
zhi chi 	咫尺	c=1 d=1 t=15516
zhi chi 	支持	c=5 d=1.64404 t=16725
zhi dao 	之道	c=1 d=1 t=2107
zhi dao 	指導	c=7 d=1 t=17209
zhi dao 	知道	c=15 d=1.06927 t=17208
zhi de 	值得	c=2 d=0.1 t=13787
zhi de kan 	值得看	c=1 d=1 t=13788
zhi de shi 	指的是	c=1 d=1 t=2592
zhi ding 	制定	c=1 d=1 t=7465
zhi ding 	指定	c=7 d=1 t=16017
zhi fa 	指法	c=1 d=1 t=16055
zhi gu 	只顧	c=0 d=0.1 t=9620
zhi gu ji 	只顧及	c=1 d=1 t=9621
zhi hou 	之後	c=7 d=1.00301 t=16489
zhi hui 	智慧	c=3 d=1.99328 t=17034
zhi ji 	之際	c=1 d=1 t=3871
zhi jia 	支架	c=1 d=1 t=16763
zhi jian 	之間	c=19 d=3.38563 t=15322
zhi jie 	直接	c=18 d=1.11402 t=17265
zhi juan 	織絹	c=1 d=1 t=5602
zhi li 	治理	c=1 d=1 t=17116
zhi lian 	之戀	c=1 d=1 t=3896
zhi liang 	質量	c=7 d=0.1 t=14096
zhi liao 	治療	c=1 d=1 t=6582
zhi ling 	指令	c=2 d=1 t=16039
zhi liu 	直流	c=0 d=0.1 t=11414
zhi lu 	之路	c=1 d=1 t=15399
zhi nan 	指南	c=0 d=0.0995012 t=746
zhi neng 	只能	c=1 d=1 t=8453
zhi neng 	智能	c=12 d=3.51133 t=17105
zhi nian 	執念	c=1 d=1 t=5948
zhi qian 	之前	c=9 d=1.02499 t=13054
zhi shang 	之上	c=2 d=1 t=4164
zhi shang 	智商	c=1 d=1 t=13476
zhi shang 	紙上	c=1 d=1 t=13477
zhi sheng xia 	只剩下	c=0 d=0.1 t=3046
zhi sheng xia le 	只剩下了	c=1 d=1 t=3047
zhi shi 	只是	c=2 d=1 t=11546
zhi shi 	指示	c=1 d=1 t=2147
zhi shi 	知識	c=14 d=1.00004 t=13536
zhi shi zheng liu 	知識蒸餾	c=1 d=1 t=11948
zhi shu 	指數	c=1 d=1 t=7897
zhi wu 	職務	c=1 d=1 t=17186
zhi xiang 	只想	c=1 d=1 t=5099
zhi xiang 	指向	c=2 d=1.96902 t=5397
zhi xiang xing 	指向型	c=1 d=1 t=5100
zhi xing 	執行	c=7 d=1 t=17184
zhi xing he yi 	知行合一	c=3 d=1.00001 t=5984
zhi xue 	治學	c=1 d=1 t=13569
zhi yao 	只要	c=1 d=1 t=5451
zhi yi 	之一	c=2 d=1 t=15510
zhi yin 	指引	c=1 d=1 t=8393
zhi you 	只有	c=8 d=1.00006 t=12481
zhi zai 	只在	c=2 d=1 t=13542
zhi zai 	旨在	c=1 d=1 t=3863
zhi ze 	職責	c=1 d=1 t=17349
zhi zhao 	執照	c=1 d=1 t=16783
zhi zhe 	指着	c=1 d=1 t=13231
zhi zhen 	指針	c=16 d=5.96278 t=11742
zhi zheng 	執政	c=1 d=1 t=17190
zhi zuo 	製作	c=1 d=1 t=13544
zhong 	中	c=121 d=3.54977 t=16853
zhong 	種	c=2 d=1 t=10347
zhong 	重	c=2 d=1 t=15927
zhong chang 	中長	c=1 d=1 t=2238
zhong cheng 	忠誠	c=1 d=1 t=17341
zhong dian 	中點	c=1 d=1 t=1084
zhong dian 	終點	c=3 d=1 t=12091
zhong dian 	重點	c=3 d=1.72615 t=17289
zhong duan 	終端	c=2 d=1.55433 t=2487
zhong gong 	中共	c=1 d=0.980199 t=746
zhong guo 	中國	c=11 d=3.18187 t=17110
zhong hua 	中華	c=1 d=0.895834 t=746
zhong hui 	終會	c=1 d=1 t=14842
zhong jian 	中間	c=24 d=1.00095 t=16771
zhong jian jian 	中間件	c=1 d=1 t=13859
zhong jian te zheng 	中間特徵	c=1 d=1 t=4526
zhong jiang 	中獎	c=0 d=0.1 t=1707
zhong jiang mei 	中獎沒	c=1 d=1 t=1708
zhong jie 	中介	c=1 d=1 t=4244
zhong lai 	中來	c=0 d=0.1 t=368
zhong lai de 	中來的	c=1 d=1 t=369
zhong liang 	重量	c=5 d=1 t=15456
zhong liu 	腫瘤	c=1 d=1 t=9702
zhong mian 	鐘面	c=1 d=1 t=4519
zhong qi 	中期	c=1 d=1 t=17418
zhong qing nian 	中青年	c=1 d=1 t=13720
zhong shen 	終身	c=2 d=1 t=17006
zhong shi 	重視	c=1 d=1 t=4554
zhong wai 	中外	c=1 d=1 t=424
zhong wen 	中文	c=1 d=1 t=9202
zhong xiao xue 	中小學	c=1 d=1 t=17016
zhong xin 	中心	c=2 d=1 t=14126
zhong xing 	鐘形	c=1 d=1 t=4271
zhong xue 	中學	c=2 d=1 t=13213
zhong yang 	中央	c=1 d=1 t=17329
zhong yao 	重要	c=9 d=1.90032 t=15185
zhong yao xing 	重要性	c=1 d=1 t=6230
zhong yi yuan 	中醫院	c=2 d=1 t=16105
zhong ying wen 	中英文	c=1 d=1 t=13874
zhong yu 	終於	c=1 d=1 t=544
zhong zhi 	終止	c=1 d=1 t=7696
zhong zhong 	種種	c=1 d=1 t=3134
zhong zuo 	重作	c=1 d=1 t=4286
zhou mo 	週末	c=1 d=1 t=143
zhou qi 	週期	c=3 d=1.45683 t=5750
zhou wei 	周圍	c=2 d=1 t=14702
zhu 	主	c=0 d=0.1 t=2649
zhu 	竹	c=1 d=1 t=686
zhu 	著	c=1 d=1 t=16770
zhu 	豬	c=4 d=2.97701 t=15300
zhu ci 	主次	c=1 d=1 t=240
zhu gan 	主幹	c=1 d=1 t=9054
zhu ge liang 	諸葛亮	c=1 d=1 t=10204
zhu guan 	主觀	c=1 d=1 t=15486
zhu he 	祝賀	c=1 d=1 t=11003
zhu hui 	珠暉	c=1 d=1 t=3652
zhu ji 	主機	c=3 d=1.84478 t=16481
zhu ji 	珠璣	c=2 d=1 t=15120
zhu jian 	逐漸	c=2 d=1 t=10503
zhu liu 	主流	c=1 d=1 t=13806
zhu nei cun 	主內存	c=1 d=1 t=2650
zhu ren gong 	主人公	c=1 d=1 t=10292
zhu shi 	註釋	c=4 d=1 t=15966
zhu shi biao 	註釋表	c=1 d=1 t=759
zhu ti 	主題	c=6 d=1.94649 t=10408
zhu ti 	主體	c=1 d=1 t=2254
zhu yao 	主要	c=24 d=1.009 t=17316
zhu yi 	注意	c=15 d=1.015 t=15203
zhu yi li 	注意力	c=20 d=1.00012 t=14107
zhu yi li ji zhi 	注意力機制	c=1 d=1 t=12185
zhu yi li tu 	注意力圖	c=1 d=1 t=12758
zhu yuan 	祝願	c=1 d=1 t=1247
zhu zhen 	助陣	c=1 d=1 t=4569
zhuan 	轉	c=2 d=1 t=4646
zhuan bian 	轉變	c=4 d=1.03096 t=14109
zhuan fa 	轉發	c=2 d=1.00005 t=17395
zhuan hua 	轉化	c=2 d=1 t=13746
zhuan huan 	轉換	c=7 d=1 t=13397
zhuan huan cheng 	轉換成	c=1 d=1 t=3516
zhuan jia 	專家	c=7 d=1 t=15245
zhuan li 	專利	c=2 d=2.045 t=16387
zhuan li shu 	專利書	c=1 d=1 t=16385
zhuan tai 	轉檯	c=1 d=1 t=5267
zhuan ti 	專題	c=1 d=1 t=13722
zhuan wan 	轉完	c=1 d=1 t=14956
zhuan xie 	撰寫	c=1 d=1 t=16378
zhuan ye 	專業	c=1 d=1 t=10135
zhuan yi 	轉移	c=2 d=1.21119 t=5529
zhuan zhu 	專注	c=4 d=3.76046 t=3604
zhuan zhu 	專著	c=1 d=1 t=16359
zhuang che 	撞車	c=0 d=0.1 t=1137
zhuang duan 	撞斷	c=1 d=1 t=12388
zhuang kuang 	狀況	c=1 d=1 t=3331
zhuang tai 	狀態	c=11 d=1.00001 t=15380
zhuang tai ji 	狀態機	c=1 d=1 t=11845
zhuang yao 	裝幺	c=2 d=1.8781 t=7104
zhui 	追	c=1 d=0.1 t=11467
zhui cha 	追查	c=0 d=0.1 t=11593
zhui chan xiao 	追產銷	c=1 d=1 t=7779
zhui chang 	追償	c=0 d=0.1 t=12312
zhui chang ba 	追償把	c=2 d=1 t=16488
zhui chuai bao 	追踹包	c=1 d=1 t=5206
zhui gan 	追趕	c=0 d=0.1 t=4570
zhui san ming 	追三名	c=1 d=1 t=11468
zhui zong 	追蹤	c=2 d=1 t=14267
zhun bei 	準備	c=1 d=0.1 t=14930
zhun bei tou 	準備頭	c=1 d=1 t=14931
zhun que 	準確	c=5 d=1.00001 t=6912
zhun que lv 	準確率	c=8 d=1 t=16312
zhun ze 	準則	c=2 d=1 t=17127
zhuo 	卓	c=0 d=0.1 t=5855
zhuo bie 	捉鱉	c=1 d=1 t=15646
zhuo li 	着力	c=1 d=1 t=17352
zhuo mian 	桌面	c=3 d=1 t=15159
zi 	子	c=2 d=1 t=11432
zi 	字	c=4 d=1.93714 t=15833
zi 	自	c=2 d=1.01588 t=17249
zi cheng xu 	子程序	c=1 d=1 t=3028
zi cong 	自從	c=1 d=1 t=7356
zi ding yi 	自定義	c=3 d=1 t=11770
zi dong 	自動	c=14 d=2.53437 t=7996
zi dong hua 	自動化	c=3 d=1 t=14223
zi duan 	字段	c=1 d=1 t=8635
zi fu 	字符	c=2 d=1.9802 t=2509
zi fu chuan 	字符串	c=1 d=1 t=2367
zi gong 	子宮	c=3 d=2.90894 t=6592
zi hui gui 	自回歸	c=1 d=1 t=15039
zi ji 	自己	c=69 d=1.01676 t=16196
zi jian 	字間	c=1 d=1 t=14071
zi jian du 	自監督	c=1 d=1 t=6483
zi jiao zhun 	自校準	c=1 d=1 t=1112
zi kao 	自考	c=1 d=1 t=10372
zi lei 	子類	c=1 d=1 t=9017
zi li 	自立	c=0 d=0.1 t=489
zi liao 	資料	c=1 d=1 t=16077
zi lv 	自律	c=2 d=1.91851 t=17126
zi mei 	姿美	c=1 d=1 t=9982
zi mu 	字母	c=1 d=1 t=15957
zi ran 	自然	c=7 d=1.63096 t=15713
zi ren 	自認	c=1 d=1 t=8907
zi shi 	姿勢	c=3 d=1.0147 t=16099
zi shi ying 	自適應	c=2 d=1 t=8256
zi tai 	姿態	c=14 d=1.96982 t=12004
zi ti 	字體	c=1 d=1 t=14364
zi wo 	自我	c=5 d=1.00002 t=5991
zi wu 	自悟	c=1 d=1 t=5978
zi wu liu zhu 	自午流注	c=1 d=1 t=16882
zi xi 	仔細	c=3 d=1 t=14331
zi xing 	自省	c=3 d=2.94099 t=5902
zi xing 	自行	c=1 d=1 t=5892
zi you 	自由	c=3 d=1.48259 t=4737
zi yuan 	資源	c=5 d=1.00021 t=15954
zi zhen ju zhuo 	字斟句酌	c=1 d=1 t=13508
zi zhi 	自知	c=1 d=1 t=3579
zi zi 	字字	c=2 d=1 t=13367
zi zi zhu ji 	字字珠璣	c=1 d=1 t=13506
zong 	總	c=1 d=1 t=16092
zong de 	總的	c=1 d=1 t=8724
zong he 	綜合	c=2 d=1 t=14404
zong hui 	總會	c=1 d=1 t=10491
zong jiao 	宗教	c=1 d=1 t=846
zong jie 	總結	c=4 d=1 t=10369
zong shi 	總是	c=2 d=1 t=10610
zong ti 	總體	c=3 d=1.2865 t=15232
zong zai 	總在	c=1 d=1 t=10566
zou 	走	c=4 d=1 t=14512
zou dao 	走到	c=1 d=1 t=15681
zou guo lai 	走過來	c=1 d=1 t=14840
zou lu 	走路	c=1 d=1 t=16096
zou zou 	走走	c=1 d=1 t=15671
zu 	組	c=3 d=1.00013 t=11887
zu cheng 	組成	c=10 d=1 t=17229
zu chuai sai 	組踹賽	c=1 d=1 t=4657
zu gou 	足夠	c=4 d=1.0599 t=13832
zu gou gao 	足夠高	c=1 d=1 t=4898
zu he 	組合	c=6 d=1.79453 t=11004
zu he qi 	組合器	c=1 d=1 t=5475
zu he shi 	組合式	c=1 d=1 t=12601
zu hou 	組後	c=1 d=1 t=13267
zu jian 	組件	c=1 d=1 t=9991
zu jian 	組建	c=1 d=1 t=8831
zu sai 	足賽	c=1 d=1 t=5150
zu se 	阻塞	c=1 d=1 t=5153
zu zhi 	組織	c=4 d=1.3588 t=17361
zui 	最	c=7 d=1.60392 t=8885
zui da 	最大	c=2 d=1 t=16757
zui hao 	最好	c=2 d=1.0107 t=14774
zui hou 	最後	c=12 d=1.24171 t=16257
zui jia 	最佳	c=1 d=1 t=16968
zui jian dan 	最簡單	c=3 d=1.34819 t=11653
zui jin 	最近	c=4 d=1.68239 t=6064
zui kai shi 	最開始	c=1 d=1 t=5621
zui nan 	最難	c=1 d=1 t=14630
zui rong yi 	最容易	c=1 d=1 t=15694
zui xiao 	最小	c=1 d=1 t=2093
zui xiao hua 	最小化	c=2 d=1.94649 t=15325
zui zhong 	最終	c=1 d=1 t=12850
zui zhong yao 	最重要	c=1 d=1 t=9155
zun cong 	遵從	c=2 d=1 t=12910
zuo 	做	c=38 d=1.1876 t=16936
zuo 	左	c=1 d=1 t=15492
zuo ba 	作罷	c=1 d=1 t=138
zuo biao 	坐標	c=11 d=1.58995 t=8092
zuo biao 	座標	c=3 d=1 t=6743
zuo chu 	作出	c=1 d=1 t=16255
zuo ci 	作詞	c=1 d=1 t=14965
zuo dao 	做到	c=1 d=1 t=9194
zuo fa 	做法	c=1 d=1 t=9216
zuo feng 	作風	c=3 d=2.71243 t=17301
zuo ge 	做個	c=1 d=1 t=121
zuo hao 	做好	c=1 d=1 t=13759
zuo hua 	作畫	c=1 d=1 t=15772
zuo le 	作了	c=0 d=0.1 t=10481
zuo le 	做了	c=5 d=1 t=16370
zuo le ba 	作了罷	c=1 d=1 t=10482
zuo ri 	昨日	c=3 d=1.0002 t=14863
zuo shen me 	做什麼	c=2 d=1.00304 t=11414
zuo sheng 	作聲	c=0 d=0.1 t=5705
zuo sheng me 	作聲麼	c=1 d=1 t=5706
zuo shi 	做事	c=1 d=1 t=255
zuo tian 	昨天	c=2 d=1.97045 t=14838
zuo wan 	做完	c=1 d=1 t=2044
zuo wei 	作爲	c=17 d=1 t=16731
zuo wen 	作文	c=1 d=1 t=1913
zuo xia qu 	做下去	c=1 d=1 t=5007
zuo yi ge 	做一個	c=1 d=1 t=5175
zuo yi xie 	做一些	c=2 d=1 t=10366
zuo yong 	作用	c=4 d=1 t=16909
zuo you 	左右	c=2 d=1 t=15469
zuo zai 	坐在	c=1 d=1 t=15756
